##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	2103_36_E_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2051135
Total Bases	309.7 Mbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.604439005721225	37.0	37.0	37.0	37.0	37.0
2	35.67518325219939	37.0	37.0	37.0	37.0	37.0
3	35.70239111516307	37.0	37.0	37.0	37.0	37.0
4	35.699816443091265	37.0	37.0	37.0	37.0	37.0
5	35.70728450345784	37.0	37.0	37.0	37.0	37.0
6	35.70865691434255	37.0	37.0	37.0	37.0	37.0
7	35.688145343919345	37.0	37.0	37.0	37.0	37.0
8	35.67031619079193	37.0	37.0	37.0	37.0	37.0
9	35.65618401519159	37.0	37.0	37.0	37.0	37.0
10-14	35.68235625641414	37.0	37.0	37.0	37.0	37.0
15-19	35.645379168119106	37.0	37.0	37.0	37.0	37.0
20-24	35.627468791669	37.0	37.0	37.0	37.0	37.0
25-29	35.57599114636531	37.0	37.0	37.0	37.0	37.0
30-34	35.51775997191798	37.0	37.0	37.0	37.0	37.0
35-39	35.481566157273896	37.0	37.0	37.0	37.0	37.0
40-44	35.44181811533614	37.0	37.0	37.0	37.0	37.0
45-49	35.41351866161905	37.0	37.0	37.0	37.0	37.0
50-54	35.3365898392841	37.0	37.0	37.0	37.0	37.0
55-59	35.30204584291137	37.0	37.0	37.0	37.0	37.0
60-64	35.26531895755277	37.0	37.0	37.0	37.0	37.0
65-69	35.23694569104423	37.0	37.0	37.0	32.2	37.0
70-74	35.17025793036539	37.0	37.0	37.0	25.0	37.0
75-79	35.108942512316354	37.0	37.0	37.0	25.0	37.0
80-84	35.04482903368135	37.0	37.0	37.0	25.0	37.0
85-89	34.98764401173009	37.0	37.0	37.0	25.0	37.0
90-94	34.98231564475279	37.0	37.0	37.0	25.0	37.0
95-99	34.9189474120426	37.0	37.0	37.0	25.0	37.0
100-104	34.848548340309144	37.0	37.0	37.0	25.0	37.0
105-109	34.75305184690428	37.0	37.0	37.0	25.0	37.0
110-114	34.72222413444264	37.0	37.0	37.0	25.0	37.0
115-119	34.650746147864474	37.0	37.0	37.0	25.0	37.0
120-124	34.577667681551915	37.0	37.0	37.0	25.0	37.0
125-129	34.50398194170545	37.0	37.0	37.0	25.0	37.0
130-134	34.457124957645405	37.0	37.0	37.0	25.0	37.0
135-139	34.33984062482479	37.0	37.0	37.0	25.0	37.0
140-144	34.226607317412075	37.0	37.0	37.0	25.0	37.0
145-149	34.116067640598985	37.0	37.0	37.0	25.0	37.0
150-151	33.803055381532666	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	45-49	0.09901744675870106
1103	50-54	0.095252709477613
1103	55-59	0.12124182414057572
1103	60-64	0.06337307924393087
1103	65-69	0.12698958163519336
1103	70-74	0.23533988342891377
1103	75-79	0.19818304214543758
1103	80-84	0.12889151293850887
1103	85-89	0.16243754219232187
1103	90-94	0.2170200491983465
1103	95-99	0.2275459005393401
1103	100-104	0.0922987635475323
1103	105-109	0.22710307261553453
1103	110-114	0.44186489118376926
1103	115-119	0.259608071386765
1103	120-124	0.3857524448152603
1103	125-129	0.3838502064015543
1103	130-134	0.2512279251690046
1103	135-139	0.38671084467213035
1103	140-144	0.4818692896822796
1103	145-149	0.37247332915460873
1103	150-151	0.30847825260341466
1104	1	-0.1944217523980285
1104	2	-0.010284849554743403
1104	3	-0.04100878554421428
1104	4	-0.136733103850311
1104	5	-0.15244652789302648
1104	6	0.006755432784828486
1104	7	0.22815143943476812
1104	8	0.11742434089664044
1104	9	0.01644204178096942
1104	10-14	-0.01938477369937175
1104	15-19	-0.014376868676023946
1104	20-24	-0.005397678082552204
1104	25-29	-0.0246217983378898
1104	30-34	0.05267344297606513
1104	35-39	0.0031638026256501917
1104	40-44	-0.020606108361583608
1104	45-49	0.06248320355128101
1104	50-54	0.10737602220286391
1104	55-59	0.12439648074905563
1104	60-64	0.12466509246029744
1104	65-69	0.08350991288373422
1104	70-74	0.10718795524340408
1104	75-79	0.23383147734988796
1104	80-84	0.16278896021398026
1104	85-89	0.26627448443969826
1104	90-94	0.20461010214773978
1104	95-99	0.26542864431344526
1104	100-104	0.23898405944650847
1104	105-109	0.09311747629021028
1104	110-114	0.18481602542817654
1104	115-119	0.26881586927958523
1104	120-124	0.25115256354663984
1104	125-129	0.3359515718123447
1104	130-134	0.29619017698746575
1104	135-139	0.5376486426249159
1104	140-144	0.3534408013485262
1104	145-149	0.4572837487320882
1104	150-151	0.34410366111729473
1105	1	-0.2115664605309462
1105	2	-0.08725879512341095
1105	3	0.08921447703531982
1105	4	-0.1619123312016555
1105	5	0.09421920163716635
1105	6	-0.14357551899949783
1105	7	-0.131936325433621
1105	8	0.12655408744196706
1105	9	0.2639707517718648
1105	10-14	-0.12816064936173177
1105	15-19	-0.006119392466047202
1105	20-24	-0.07467985191321702
1105	25-29	-0.059744614147788866
1105	30-34	0.03940334598243567
1105	35-39	0.17700767161397835
1105	40-44	0.08181695986398552
1105	45-49	0.004624886363174596
1105	50-54	0.013103596628823766
1105	55-59	0.09319814803708226
1105	60-64	0.03518575326374673
1105	65-69	0.1156724367959896
1105	70-74	0.018991596629803098
1105	75-79	0.1265498046835205
1105	80-84	-0.036242448118791515
1105	85-89	0.08313878504048233
1105	90-94	0.08553688937904269
1105	95-99	0.06722232353162383
1105	100-104	0.07463737599287157
1105	105-109	0.059905685483521154
1105	110-114	0.20871007196311098
